Metric,Decision,Connectivity,Sensitivity
total_operating_cost_per_hr,d1,864.1465919701252,215.16862170088007
total_operating_cost_per_hr,d2,0.0,285.0
total_operating_cost_per_hr,d3,2474.9400991165685,662.2823797823801
total_operating_cost_per_hr,d4_1,1029.4098679098688,319.7981366459626
total_operating_cost_per_hr,d4_2,1029.4098679098688,319.7981366459626
total_operating_cost_per_hr,d4_3,1029.4098679098688,319.7981366459626
total_operating_cost_per_hr,d4_4,1029.4098679098688,319.7981366459626
total_operating_cost_per_hr,d4_5,0.0,0.0
total_operating_cost_per_hr,d4_6,1243.3939393939409,249.3939393939395
total_operating_cost_per_hr,d5,123.57040483159585,143.6178567231991
total_operating_cost_per_hr,d6,4.547473508864641e-13,100.0
total_operating_cost_per_hr,d7_1,0.0,0.0
total_operating_cost_per_hr,d7_2,79.60099715099977,10.294892048446854
total_operating_cost_per_hr,d7_3,116.44998216265572,13.132294509071926
total_operating_cost_per_hr,d7_4,121.70338987501555,14.249345851511862
total_operating_cost_per_hr,d7_5,137.8991951044054,15.086211326960893
total_operating_cost_per_hr,d7_6,147.17862950197537,15.621091615566911
total_operating_cost_per_hr,d8,4.547473508864641e-13,70.0
certification_schedule_yrs,d1,9.062091503267979,5.564516129032258
certification_schedule_yrs,d2,0.0,0.0
certification_schedule_yrs,d3,3.221015585721479,0.8946560196560185
certification_schedule_yrs,d4_1,1.6458430458430495,0.021739130434784926
certification_schedule_yrs,d4_2,1.6458430458430495,0.021739130434784926
certification_schedule_yrs,d4_3,1.6458430458430495,0.021739130434784926
certification_schedule_yrs,d4_4,1.6458430458430495,0.021739130434784926
certification_schedule_yrs,d4_5,0.0,0.0
certification_schedule_yrs,d4_6,3.552713678800501e-15,2.3333333333333357
certification_schedule_yrs,d5,2.385983275386999,4.610189573459718
certification_schedule_yrs,d6,3.552713678800501e-15,3.0
certification_schedule_yrs,d7_1,0.0,0.0
certification_schedule_yrs,d7_2,1.966153846153862,0.27251184834123166
certification_schedule_yrs,d7_3,2.8523356180347657,0.3476195605342536
certification_schedule_yrs,d7_4,2.9434753478418765,0.3771885666576633
certification_schedule_yrs,d7_5,3.353829932953742,0.3993408880666074
certification_schedule_yrs,d7_6,3.5929771726132174,0.4134994839414734
certification_schedule_yrs,d8,0.0,0.0
propulsion_reliability,d1,0.04575246315260484,0.02521746020384219
propulsion_reliability,d2,2.3314683517128287e-15,0.0
propulsion_reliability,d3,0.03750261592744719,0.012159867681301395
propulsion_reliability,d4_1,0.007428370044146426,0.002220967908930671
propulsion_reliability,d4_2,0.007428370044146426,0.002220967908930671
propulsion_reliability,d4_3,0.007428370044146426,0.002220967908930671
propulsion_reliability,d4_4,0.007428370044146426,0.002220967908930671
propulsion_reliability,d4_5,0.0,0.0
propulsion_reliability,d4_6,0.013797705552762274,0.01283611173367527
propulsion_reliability,d5,1.6320591457175126e-06,1.5544686104984606e-06
propulsion_reliability,d6,3.621608017922995e-07,1.238188458430045e-07
propulsion_reliability,d7_1,0.0,0.0
propulsion_reliability,d7_2,9.438600458988589e-07,1.2202181598475192e-07
propulsion_reliability,d7_3,1.3777665609504552e-06,1.556525721646551e-07
propulsion_reliability,d7_4,1.4403872687918096e-06,1.6889259790708877e-07
propulsion_reliability,d7_5,1.6326458588400428e-06,1.788116769096959e-07
propulsion_reliability,d7_6,1.7427618423937474e-06,1.8515142874431234e-07
propulsion_reliability,d8,0.0,0.0
system_durability_yrs,d1,5.766305573960526,1.5659093344764763
system_durability_yrs,d2,3.850899921497537,0.8929792847371498
system_durability_yrs,d3,3.071053210344396,0.40805474381055795
system_durability_yrs,d4_1,0.5999515925218066,0.04794233163437234
system_durability_yrs,d4_2,0.5999515925218066,0.04794233163437234
system_durability_yrs,d4_3,0.5999515925218066,0.04794233163437234
system_durability_yrs,d4_4,0.5999515925218066,0.04794233163437234
system_durability_yrs,d4_5,0.0,0.0
system_durability_yrs,d4_6,1.1529789932952852,0.7112095484188519
system_durability_yrs,d5,0.6658539808446289,0.0442704793326989
system_durability_yrs,d6,0.7720042358239638,0.06601090048422442
system_durability_yrs,d7_1,0.0,0.0
system_durability_yrs,d7_2,0.18217643063924172,0.009895128843181666
system_durability_yrs,d7_3,0.2692834415548768,0.01262235150814206
system_durability_yrs,d7_4,0.3113741866016113,0.013696026385535909
system_durability_yrs,d7_5,0.34191745438349397,0.014500395354632545
system_durability_yrs,d7_6,0.3562535777042859,0.01501450558974149
system_durability_yrs,d8,0.0,0.0
